struct_name,total energy [eV]
Al_fcc,-14.76352539142152
Mg_bcc,-0.666291112562577
Mg_hcp,-3.2755442439066162
Ti_bcc,-13.134165629536927
Ti_hcp,-13.428269481324698
NaCl,-26.85845754443331
CsCl,-6.425806604844759
