struct_name,total energy [eV]
Fe4OF7,-145.4336556767176
Fe4OF7_var_1,-145.4002431084982
Fe4OF8,-299.7085225719392
Fe4OF8_var_1,-299.90009656291124
Fe6OF11,-206.1475334526545
Fe6OF11_var_1,-206.2516560602152
